Game,Publisher,Genre,Release Year,ESRB Rating,Multiplayer,Metacritic Score,Exclusivity,Sales N.A.,Sales Eur,Sales Jap,Sales Other,Sales Total
Aquaman: Battle for Atlantis,Take-Two Interactive,ActionAdventure,2003,T,1,27,No,0.01,NA,NA,NA,0.01
Asterix & Obelix XXL,Atari,ActionAdventure,2004,E,1,NA,No,NA,NA,NA,NA,NA
Avatar: The Last Airbender,THQ,ActionAdventure,2006,E10,1,60,No,0.39,0.1,NA,0.01,0.5
Barnyard,THQ,ActionAdventure,2006,E10,1,66,No,0.09,0.02,NA,NA,0.12
Batman Begins,Electronic Arts,ActionAdventure,2005,T,1,66,No,0.11,0.03,NA,NA,0.15
Batman: Dark Tomorrow,Kemco,ActionAdventure,2003,T,1,29,No,0.06,0.02,NA,NA,0.08
Batman: Rise of Sin Tzu,Ubisoft,ActionAdventure,2003,T,2,63,Yes,0.05,0.01,NA,NA,0.06
Batman: Vengeance,Ubisoft,ActionAdventure,2001,T,1,70,Yes,0.2,0.05,NA,0.01,0.26
BeyBlade VForce: Super Tournament Battle,Atari,ActionAdventure,2002,E,4,33,Yes,0.16,0.04,NA,0.01,0.21
Beyond Good & Evil,Ubisoft,ActionAdventure,2003,T,1,87,No,0.06,0.01,NA,NA,0.07
Bionicle,Electronic Arts,ActionAdventure,2003,E,1,47,No,0.16,0.04,NA,0.01,0.21
Blood Omen 2,Eidos Interactive,ActionAdventure,2002,M,1,71,No,0.04,0.01,NA,NA,0.05
Bomberman Generation,Vivendi Games,ActionAdventure,2002,E,4,81,Yes,0.15,0.04,0.06,0.01,0.25
Bomberman Jetters,Hudson Soft,ActionAdventure,2002,E,4,70,Yes,0.06,0.02,NA,NA,0.08
Bomberman Land 2,Hudson Soft,ActionAdventure,2003,E,4,NA,No,NA,NA,NA,NA,NA
Bratz: Forever Diamondz,THQ,ActionAdventure,2006,E,1,NA,No,0.17,0.04,NA,0.01,0.21
Bratz: Rock Angelz,THQ,ActionAdventure,2005,E,1,NA,No,0.16,0.04,NA,0.01,0.2
Buffy the Vampire Slayer: Chaos Bleeds,Vivendi Games,ActionAdventure,2003,T,4,75,No,0.02,0.01,NA,NA,0.03
Carmen Sandiego: The Secret of the Stolen Drums,BAM! Entertainment,ActionAdventure,2004,E,1,57,No,0.02,NA,NA,NA,0.02
Catwoman,Electronic Arts,ActionAdventure,2004,T,1,47,No,0.05,0.01,NA,NA,0.07
Charlie and the Chocolate Factory,Global Star,ActionAdventure,2005,E,1,39,No,0.14,0.04,NA,NA,0.18
Charlie's Angels,Ubisoft,ActionAdventure,2003,T,1,23,No,0.01,NA,NA,NA,0.02
Chibi-Robo! Plug into Adventure!,Nintendo,ActionAdventure,2005,E10,1,75,Yes,0.23,0.06,0.09,0.01,0.39
Conan,Take-Two Interactive,ActionAdventure,2005,NA,2,NA,No,NA,NA,NA,NA,NA
Cubivore: Survival of the Fittest,Nintendo,ActionAdventure,2002,E,1,71,Yes,0.01,NA,0.15,NA,0.17
Cubix Robots for Everyone: Showdown,3DO,ActionAdventure,2003,E,4,NA,No,NA,NA,NA,NA,NA
Curious George,Namco Bandai Games,ActionAdventure,2006,E,1,53,No,0.11,0.03,NA,NA,0.15
Darkened Skye,Take-Two Interactive,ActionAdventure,2002,T,1,61,No,0.01,NA,NA,NA,0.01
Def Jam: Fight for NY,Electronic Arts,ActionAdventure,2004,M,2,84,No,0.17,0.05,NA,0.01,0.22
Defender,Midway Games,ActionAdventure,2002,T,2,66,No,0.08,0.02,NA,NA,0.11
Dinotopia: The Sunstone Odyssey,Take-Two Interactive,ActionAdventure,2003,T,1,50,No,0.01,NA,NA,NA,0.02
Disney's Hide & Sneak,Capcom,ActionAdventure,2003,E,1,46,Yes,0.03,0.01,NA,NA,0.03
Disney's Magical Mirror Starring Mickey Mouse,Nintendo,ActionAdventure,2002,E,1,50,Yes,0.15,0.04,NA,0.01,0.19
Disney's Meet the Robinsons,Disney Interactive Studios,ActionAdventure,2007,E10,1,68,No,0.03,0.01,NA,NA,0.04
Dora the Explorer: Journey to the Purple Planet,Global Star,ActionAdventure,2005,E,1,NA,No,0.09,0.02,NA,NA,0.12
Enter the Matrix,Atari,ActionAdventure,2003,T,1,63,No,0.34,0.09,0.02,0.01,0.45
Eternal Darkness: Sanity's Requiem,Nintendo,ActionAdventure,2002,M,1,92,Yes,0.34,0.09,NA,0.01,0.44
Fantastic 4,Activision,ActionAdventure,2005,T,2,61,No,0.19,0.05,NA,0.01,0.24
Finding Nemo,THQ,ActionAdventure,2003,E,1,62,No,0.69,0.18,NA,0.02,0.89
