Game,Publisher,Publisher2,Genre,Genre2,Release.Year,Release.Year2,ESRB.Rating,ESRB.Rating2,Multiplayer,Multiplayer2,Metacritic.Score,Exclusivity,Sales.N.A.,Sales.Eur,Sales.Jap,Sales.Other,Sales.Total
1080 Avalanche,Nintendo,Nintendo,Sports,Sports,2003,2003,E,EE10,4,4,73,Yes,NA,NA,NA,NA,NA
18 Wheeler: American Pro Trucker,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2002,2002,E,EE10,2,2,52,No,0.09,0.02,NA,NA,0.11
2002 FIFA World Cup,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,EE10,4,4,78,No,0.04,0.01,NA,NA,0.05
4x4 EVO 2,Vivendi Games,Vivendi Games,Racing,Racing,2002,2002,E,EE10,2,2,56,No,0.11,0.03,NA,NA,0.14
Aggressive Inline,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2002,2002,T,TM,2,2,88,No,0.04,0.01,NA,NA,0.06
Alien Hominid,O3 Entertainment,Other,Shooter,Shooter,2004,2004,T,TM,4,4,78,No,0.07,0.02,NA,NA,0.09
All-Star Baseball 2002,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2001,2002,E,EE10,4,4,66,No,0.17,0.04,NA,0.01,0.22
All-Star Baseball 2003,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2002,2002,E,EE10,4,4,83,No,0.12,0.03,NA,NA,0.15
All-Star Baseball 2004,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2003,2003,E,EE10,4,4,80,No,0.06,0.02,NA,NA,0.08
Amazing Island,Sega,Sega,Strategy,Other,2004,2004,E,EE10,2,2,59,Yes,0.04,0.01,NA,NA,0.06
American Chopper 2: Full Throttle,Activision,Activision,Racing,Racing,2005,2005,E,EE10,1,1,54,No,0.04,0.01,NA,NA,0.05
Animal Crossing,Nintendo,Nintendo,Simulation,Other,2001,2002,E,EE10,1,1,87,Yes,1.92,0.16,0.99,0.09,3.15
Animaniacs: The Great Edgar Hunt,Ignition Entertainment,Other,Platformer,Platformer,2005,2005,E,EE10,1,1,65,No,0.02,0.01,NA,NA,0.03
Aquaman: Battle for Atlantis,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,2003,2003,T,TM,1,1,27,No,0.01,NA,NA,NA,0.01
Archer Maclean Presents: Pool Paradise,Ignition Entertainment,Other,Sports,Sports,2004,2004,E,EE10,2,2,76,No,0.02,0.01,NA,NA,0.03
Army Men: Air Combat - The Elite Missions,3DO,Other,Shooter,Shooter,2003,2003,T,TM,2,2,46,Yes,0.01,NA,NA,NA,0.01
Army Men: RTS,Global Star,Other,Strategy,Other,2004,2004,T,TM,1,1,NA,No,0.05,0.01,NA,NA,0.07
Army Men: Sarge's War,Global Star,Other,Shooter,Shooter,2004,2004,T,TM,4,4,56,No,0.12,0.03,NA,NA,0.15
Asterix & Obelix XXL,Atari,Atari,ActionAdventure,ActionAdventure,2004,2004,E,EE10,1,1,NA,No,NA,NA,NA,NA,NA
ATV Quad Power Racing 2,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,T,TM,2,2,70,No,0.22,0.06,NA,0.01,0.28
Auto Modellista,Capcom,Capcom,Racing,Racing,2003,2003,E,EE10,2,2,62,No,0.02,0.01,NA,NA,0.03
Avatar: The Last Airbender,THQ,THQ,ActionAdventure,ActionAdventure,2006,2005,E10,EE10,1,1,60,No,0.39,0.1,NA,0.01,0.5
Backyard Baseball,Infogrames Entertainment,Other,Sports,Sports,2003,2003,E,EE10,2,2,70,No,0.1,0.03,NA,NA,0.13
Backyard NFL Football,Infogrames Entertainment,Other,Sports,Sports,2002,2002,E,EE10,2,2,58,No,0.2,0.05,NA,0.01,0.26
Backyard Sports Baseball 2007,Atari,Atari,Sports,Sports,2007,2005,E,EE10,2,2,NA,No,NA,NA,NA,NA,NA
Bad Boys: Miami Takedown,Empire Interactive,Other,Shooter,Shooter,2004,2004,M,TM,1,1,35,No,0.03,0.01,NA,NA,0.05
Baldur's Gate: Dark Alliance,Virgin Interactive,Other,RolePlaying,RolePlaying,2002,2002,T,TM,2,2,79,No,0.11,0.03,NA,NA,0.14
Barbarian,Virgin Interactive,Other,Fighting,Fighting,2003,2003,T,TM,2,2,NA,No,NA,NA,NA,NA,NA
Barnyard,THQ,THQ,ActionAdventure,ActionAdventure,2006,2005,E10,EE10,1,1,66,No,0.09,0.02,NA,NA,0.12
Baten Kaitos Origins,Namco Bandai Games,Namco Bandai Games,RolePlaying,RolePlaying,2006,2005,T,TM,1,1,75,Yes,0.06,0.02,0.02,NA,0.1
Baten Kaitos: Eternal Wings and the Lost Ocean,Namco Bandai Games,Namco Bandai Games,RolePlaying,RolePlaying,2003,2003,T,TM,1,1,80,Yes,0.21,0.05,NA,0.01,0.27
Batman Begins,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,2005,2005,T,TM,1,1,66,No,0.11,0.03,NA,NA,0.15
